x,y,z,x,y,z
0.05982428,0.4159719,0.08782422,0.05982428,0.4159719,0.08782422
0.06567533,0.41325822,0.07361359,0.06567533,0.41325822,0.07361359
0.06737331,0.40455082,0.061633263,0.06737331,0.40455082,0.061633263
0.06895436,0.3958414,0.04758305,0.06895436,0.3958414,0.04758305
0.06633666,0.38489506,0.040288217,0.06633666,0.38489506,0.040288217
0.07773258,0.47860277,-0.018684937,0.07773258,0.47860277,-0.018684937
0.0713999,0.49106616,-0.032883134,0.0713999,0.49106616,-0.032883134
0.061093375,0.505053,-0.044945452,0.061093375,0.505053,-0.044945452
0.044494588,0.5167588,-0.054890458,0.044494588,0.5167588,-0.054890458
0.07941472,0.46830583,-0.012314613,0.07941472,0.46830583,-0.012314613
0.02353251,0.526846,-0.059855726,0.02353251,0.526846,-0.059855726
0.012188254,0.39851332,0.120234706,0.012188254,0.39851332,0.120234706
0.019235069,0.39803067,0.11540624,0.019235069,0.39803067,0.11540624
0.01050134,0.40277594,0.11969011,0.01050134,0.40277594,0.11969011
0.011503899,0.37364557,0.12082123,0.011503899,0.37364557,0.12082123
0.0072584483,0.37326106,0.12249352,0.0072584483,0.37326106,0.12249352
0.008217533,0.3675893,0.119505346,0.008217533,0.3675893,0.119505346
0.013158158,0.36815223,0.11800705,0.013158158,0.36815223,0.11800705
0.017759193,0.33222008,0.09269865,0.017759193,0.33222008,0.09269865
0.027219696,0.33650088,0.08825172,0.027219696,0.33650088,0.08825172
0.019857561,0.3127332,0.06419545,0.019857561,0.3127332,0.06419545
0.029450748,0.3166872,0.05637632,0.029450748,0.3166872,0.05637632
0.010343705,0.41169998,0.12339669,0.010343705,0.41169998,0.12339669
0.00873642,0.41202563,0.123759374,0.00873642,0.41202563,0.123759374
0.008511468,0.4109683,0.12161399,0.008511468,0.4109683,0.12161399
0.010547109,0.4108529,0.12125304,0.010547109,0.4108529,0.12125304
0.023853526,0.38245404,0.11216278,0.023853526,0.38245404,0.11216278
0.008247707,0.3904577,0.12411016,0.008247707,0.3904577,0.12411016
0.00511503,0.3902151,0.124760084,0.00511503,0.3902151,0.124760084
0.0053343754,0.3865273,0.123281896,0.0053343754,0.3865273,0.123281896
0.008490033,0.38663703,0.12263932,0.008490033,0.38663703,0.12263932
0.042978317,0.34345767,0.062195305,0.042978317,0.34345767,0.062195305
0.040163457,0.3339378,0.051227298,0.040163457,0.3339378,0.051227298
0.057388116,0.31741807,0.013949567,0.057388116,0.31741807,0.013949567
0.057330005,0.33104983,0.017142924,0.057330005,0.33104983,0.017142924
0.055288974,0.34969375,0.001818498,0.055288974,0.34969375,0.001818498
0.031756498,0.35447243,-0.034080986,0.031756498,0.35447243,-0.034080986
0.022694567,0.35451218,-0.041606348,0.022694567,0.35451218,-0.041606348
-0.001538747,0.35685554,-0.047746703,-0.001538747,0.35685554,-0.047746703
-0.0021262341,0.37194088,-0.051916223,-0.0021262341,0.37194088,-0.051916223
0.011431647,0.37135336,-0.049888395,0.011431647,0.37135336,-0.049888395
0.010334752,0.3558743,-0.045674462,0.010334752,0.3558743,-0.045674462
0.028933475,0.33274212,0.07296589,0.028933475,0.33274212,0.07296589
0.018679313,0.3281958,0.07902003,0.018679313,0.3281958,0.07902003
0.019340739,0.3220258,0.06999834,0.019340739,0.3220258,0.06999834
0.028916998,0.32642797,0.06260159,0.028916998,0.32642797,0.06260159
0.004999963,0.4087847,0.12491323,0.004999963,0.4087847,0.12491323
0.0036659488,0.40782192,0.1265531,0.0036659488,0.40782192,0.1265531
0.0040989257,0.40548223,0.123816065,0.0040989257,0.40548223,0.123816065
0.0059010405,0.4076072,0.12292845,0.0059010405,0.4076072,0.12292845
0.011372228,0.40881246,0.11954015,0.011372228,0.40881246,0.11954015
0.009096331,0.40780014,0.11970119,0.009096331,0.40780014,0.11970119
0.00952383,0.4058034,0.119656175,0.00952383,0.4058034,0.119656175
0.011859975,0.41157186,0.124030024,0.011859975,0.41157186,0.124030024
0.012274676,0.41012874,0.121341504,0.012274676,0.41012874,0.121341504
0.0072210273,0.4125077,0.12880571,0.0072210273,0.4125077,0.12880571
0.010028556,0.41231918,0.127128,0.010028556,0.41231918,0.127128
0.00732122,0.41283283,0.13379885,0.00732122,0.41283283,0.13379885
0.0065376544,0.40990004,0.12338868,0.0065376544,0.40990004,0.12338868
0.0070405216,0.40861773,0.12175302,0.0070405216,0.40861773,0.12175302
0.010254919,0.40981036,0.11999262,0.010254919,0.40981036,0.11999262
0.008582528,0.4095239,0.12018225,0.008582528,0.4095239,0.12018225
0.007438926,0.41244042,0.12669407,0.007438926,0.41244042,0.12669407
0.009244852,0.4122123,0.12538178,0.009244852,0.4122123,0.12538178
0.0071120225,0.43408427,0.12523508,0.0071120225,0.43408427,0.12523508
0.0012190132,0.4352418,0.12783076,0.0012190132,0.4352418,0.12783076
0.001167929,0.4286855,0.1336872,0.001167929,0.4286855,0.1336872
0.0011789205,0.4209409,0.13897079,0.0011789205,0.4209409,0.13897079
0.0012257828,0.41264203,0.13690898,0.0012257828,0.41264203,0.13690898
0.010821035,0.31931973,0.073609546,0.010821035,0.31931973,0.073609546
0.011348854,0.3101815,0.06810817,0.011348854,0.3101815,0.06810817
0.0008644884,0.50033486,0.103826545,0.0008644884,0.50033486,0.103826545
0.0008446891,0.4814304,0.11001957,0.0008446891,0.4814304,0.11001957
0.024601959,0.38107967,0.110577404,0.024601959,0.38107967,0.110577404
0.025474522,0.46207905,0.10467184,0.025474522,0.46207905,0.10467184
0.04964189,0.42519483,0.09710878,0.04964189,0.42519483,0.09710878
0.028963832,0.4269328,0.10469756,0.028963832,0.4269328,0.10469756
0.035427853,0.42251393,0.10459194,0.035427853,0.42251393,0.10459194
0.03542027,0.43016952,0.10177259,0.03542027,0.43016952,0.10177259
0.029451327,0.43308094,0.10233766,0.029451327,0.43308094,0.10233766
0.016375368,0.4591291,0.10492198,0.016375368,0.4591291,0.10492198
0.0075477073,0.45555496,0.11025062,0.0075477073,0.45555496,0.11025062
0.011181885,0.45358598,0.10377577,0.011181885,0.45358598,0.10377577
0.010685547,0.44704372,0.103858344,0.010685547,0.44704372,0.103858344
0.007846142,0.44654343,0.112201065,0.007846142,0.44654343,0.112201065
0.012115753,0.43954808,0.10858294,0.012115753,0.43954808,0.10858294
0.013778401,0.44187215,0.10280309,0.013778401,0.44187215,0.10280309
0.046182476,0.45113927,0.09537291,0.046182476,0.45113927,0.09537291
0.048445955,0.45248356,0.09379009,0.048445955,0.45248356,0.09379009
0.01731186,0.43489388,0.10584351,0.01731186,0.43489388,0.10584351
0.022893572,0.43087798,0.104702465,0.022893572,0.43087798,0.104702465
0.023786956,0.4357682,0.10207208,0.023786956,0.4357682,0.10207208
0.018538069,0.43846074,0.1021826,0.018538069,0.43846074,0.1021826
0.04210412,0.4272362,0.10026446,0.04210412,0.4272362,0.10026446
0.05475827,0.44940913,0.08605237,0.05475827,0.44940913,0.08605237
0.051294606,0.43840536,0.08854424,0.051294606,0.43840536,0.08854424
0.06804783,0.41113567,-0.005439413,0.06804783,0.41113567,-0.005439413
0.06439811,0.4001955,0.0014468554,0.06439811,0.4001955,0.0014468554
0.0704301,0.39101672,0.021538636,0.0704301,0.39101672,0.021538636
0.06795479,0.38702893,0.024620252,0.06795479,0.38702893,0.024620252
0.063201964,0.38942993,0.019895302,0.063201964,0.38942993,0.019895302
0.068363845,0.393364,0.017128417,0.068363845,0.393364,0.017128417
0.079444945,0.44337857,0.001744969,0.079444945,0.44337857,0.001744969
0.07915893,0.45027852,-0.001993223,0.07915893,0.45027852,-0.001993223
0.07962041,0.45148793,0.0052540903,0.07962041,0.45148793,0.0052540903
0.07879047,0.44397137,0.0045311865,0.07879047,0.44397137,0.0045311865
0.07856827,0.447378,0.010880106,0.07856827,0.447378,0.010880106
0.07867114,0.45084983,0.013181275,0.07867114,0.45084983,0.013181275
0.07788349,0.44271958,0.014667588,0.07788349,0.44271958,0.014667588
